"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","732-8045-1-ND","885012207045","CAP CER 0.1UF 16V X7R 0805","","1","0","0.10000","0.10"
"2","29","ED1081-ND","3121-2-00-15-00-00-08-0","CONN PC PIN CIRC 0.017DIA GOLD","","29","0","0.11480","3.33"
"3","1","1727-4115-1-ND","74LVC1G08GV,125","IC GATE AND 1CH 2-INP SC74A","","1","0","0.38000","0.38"
"4","1","1450-1019-ND","AS6C1008-55STIN","IC SRAM 1MBIT PARALLEL 32STSOP","","1","0","3.33000","3.33"
