"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","1450-1034-ND","AS6C62256-55SCN","IC SRAM 256KBIT PARALLEL 28SOP","","1","0","3.45000","3.45"
"2","1","1727-5985-1-ND","74LVC2G00DP,125","IC GATE NAND 2CH 2-INP 8TSSOP","","1","0","0.61000","0.61"
"3","1","732-8045-1-ND","885012207045","CAP CER 0.1UF 16V X7R 0805","","1","0","0.10000","0.10"
"4","28","ED1081-ND","3121-2-00-15-00-00-08-0","CONN PC PIN CIRC 0.017DIA GOLD","","28","0","0.11480","3.21"
